id,format,rating,uploadtime
gen7nu-736870711,[Gen 7] NU,1195.0,1524461009
gen7nu-736880330,[Gen 7] NU,1261.0,1524463470
gen7nu-736909461,[Gen 7] NU,1021.0,1524473428
gen7nu-736909976,[Gen 7] NU,1197.0,1524473108
gen7nu-736917441,[Gen 7] NU,1067.0,1524475565
gen7nu-736920115,[Gen 7] NU,1075.0,1524476489
gen7nu-736938049,[Gen 7] NU,1238.0,1524481410
gen7nu-736939641,[Gen 7] NU,1252.0,1524481750
gen7nu-736941327,[Gen 7] NU,1128.0,1524481953
gen7nu-736947524,[Gen 7] NU,1158.0,1524483662
gen7nu-736950371,[Gen 7] NU,1081.0,1524484290
gen7nu-736951423,[Gen 7] NU,1063.0,1524484912
gen7nu-736972057,[Gen 7] NU,1112.0,1524488793
gen7nu-736987908,[Gen 7] NU,1184.0,1524491560
gen7nu-739812087,[Gen 7] NU,1262.0,1524982537
gen7nu-739813402,[Gen 7] NU,1199.0,1524983299
gen7nu-739819714,[Gen 7] NU,1173.0,1524985046
gen7nu-739822517,[Gen 7] NU,1247.0,1524985661
gen7nu-739833502,[Gen 7] NU,1262.0,1524989398
gen7nu-739837933,[Gen 7] NU,1071.0,1524990828
gen7nu-739861646,[Gen 7] NU,1309.0,1524998393
gen7nu-739871569,[Gen 7] NU,1209.0,1525000905
gen7nu-739873799,[Gen 7] NU,1135.0,1525001487
gen7nu-739889355,[Gen 7] NU,1053.0,1525005057
gen7nu-739890286,[Gen 7] NU,1055.0,1525005193
gen7nu-739900830,[Gen 7] NU,1194.0,1525007807
gen7nu-739905005,[Gen 7] NU,1136.0,1525008623
gen7nu-739906758,[Gen 7] NU,1371.0,1525009036
gen7nu-739907509,[Gen 7] NU,1052.0,1525008978
gen7nu-739914110,[Gen 7] NU,1338.0,1525010649
gen7nu-739916376,[Gen 7] NU,1012.0,1525010793
gen7nu-739917734,[Gen 7] NU,1147.0,1525011371
gen7nu-739928716,[Gen 7] NU,1188.0,1525013138
gen7nu-739930879,[Gen 7] NU,1026.0,1525013197
gen7nu-739931693,[Gen 7] NU,1111.0,1525013782
gen7nu-739946402,[Gen 7] NU,1095.0,1525015850
gen7nu-739958721,[Gen 7] NU,1108.0,1525017485
gen7nu-739968875,[Gen 7] NU,1038.0,1525018996
gen7nu-740010292,[Gen 7] NU,1296.0,1525024638
gen7nu-740012064,[Gen 7] NU,1283.0,1525025017
gen7nu-740044443,[Gen 7] NU,1020.0,1525029070
gen7nu-757266526,[Gen 7] NU,1058.0,1528075422
